experiment,scenario,strategy,variant,param,value,n_seeds,asr_final_mean,asr_post_mean_mean,false_retrieval_rate_mean,answer_flip_rate_mean,propagation_final_mean,propagation_peak_mean,exposure_final_mean,clean_accuracy_final_mean,clean_accuracy_mean_mean,clean_unknown_final_mean,target_accuracy_final_mean,fp_reject_rate_mean,fn_accept_rate_mean,fn_accept_injected_mean,recovery_rounds_mean,recovered_mean,context_tokens_per_query_mean,scored_per_query_mean,verifier_lookups_mean,messages_mean,asr_final_sd,asr_post_mean_sd,false_retrieval_rate_sd,answer_flip_rate_sd,propagation_final_sd,propagation_peak_sd,exposure_final_sd,clean_accuracy_final_sd,clean_accuracy_mean_sd,clean_unknown_final_sd,target_accuracy_final_sd,fp_reject_rate_sd,fn_accept_rate_sd,fn_accept_injected_sd,recovery_rounds_sd,recovered_sd,context_tokens_per_query_sd,scored_per_query_sd,verifier_lookups_sd,messages_sd
agreement,forged_meta,provenance,honest3_faulty2,honest_sources,3,8,0.322917,0.276042,0.638455,0.253038,0.53125,0.53125,0.871528,0.984375,0.975695,0.0104166,0.677083,0.000215146,0.996032,1,8,0,51.7289,12,0,184,0.100635,0.0597961,0.102457,0.0504007,0.11826,0.11826,0.0784797,0.0147314,0.0228821,0.0111359,0.100635,0.000608525,0.0112239,0,0,0,0.419066,0,0,0
agreement,forged_meta,provenance,honest3_faulty3,honest_sources,3,8,0.508333,0.490104,0.831771,0.455729,0.7125,0.7125,0.983333,0.96875,0.964583,0.021875,0.491667,0.000256674,0.998579,1,8,0,51.6963,12,0,156,0.128174,0.0637741,0.0448729,0.0639296,0.120762,0.120762,0.0308608,0.0395285,0.0412479,0.0364434,0.128174,0.000725983,0.00401778,0,0,0,0.415065,0,0,0
agreement,forged_meta,verified,honest1_faulty1,honest_sources,1,8,0.464286,0.37314,0.406994,0.344494,0.363095,0.363095,0.64881,0.997768,0.997768,0.00223214,0.532738,0,0.811548,0.799975,8,0,54.6639,11.9589,163.625,212,0.118707,0.107,0.129404,0.109129,0.107802,0.107802,0.107802,0.0063134,0.0063134,0.00631344,0.119345,0,0.110768,0.119495,0,0,0.320058,0.0689064,29.9997,0
agreement,forged_meta,verified,honest1_faulty2,honest_sources,1,8,0.5625,0.486545,0.507813,0.47309,0.451389,0.451389,0.788194,0.976562,0.972222,0.0234375,0.4375,0,0.774533,0.771907,8,0,54.6829,11.9896,145,184,0.177399,0.173834,0.173202,0.158399,0.172995,0.172995,0.122382,0.0437536,0.0434474,0.0437535,0.177399,0,0.120758,0.128472,0,0,0.347906,0.029451,25.934,0
agreement,forged_meta,verified,honest1_faulty3,honest_sources,1,8,0.583333,0.540625,0.548437,0.503125,0.5125,0.5125,0.929167,0.95625,0.948958,0.028125,0.408333,0.00227554,0.744278,0.743104,8,0,54.6786,11.975,123.875,156,0.178174,0.161217,0.159938,0.158423,0.154239,0.154239,0.0375329,0.0562996,0.0589992,0.0471273,0.174347,0.00484446,0.13491,0.142255,0,0,0.371303,0.036645,22.9996,0
agreement,forged_meta,verified,honest2_faulty1,honest_sources,2,8,0.0803572,0.0907738,0.337426,0.0848215,0.303571,0.303571,0.589286,0.997768,0.994792,0.00223214,0.916667,0,0.776636,0.779871,4.375,0.5,54.6945,11.9964,288.875,212,0.088116,0.0689589,0.0888731,0.0670611,0.0933051,0.0933051,0.0933052,0.0063134,0.00741921,0.00631344,0.0935218,0,0.143201,0.134238,3.99777,0.534522,0.349891,0.0101116,54.2598,0
agreement,forged_meta,verified,honest2_faulty2,honest_sources,2,8,0.288195,0.271701,0.488716,0.223524,0.409722,0.409722,0.770833,0.992188,0.986979,0.00781249,0.673611,0,0.751131,0.758628,8,0,54.696,11.9938,242.625,184,0.118725,0.125505,0.133872,0.0946902,0.111853,0.111853,0.0924269,0.0107821,0.0150494,0.0107823,0.138292,0,0.130527,0.121506,0,0,0.392982,0.012394,45.4562,0
agreement,forged_meta,verified,honest2_faulty3,honest_sources,2,8,0.379167,0.378125,0.55,0.315104,0.433333,0.433333,0.929167,0.971875,0.952083,0.015625,0.604167,0,0.733178,0.718249,8,0,54.685,12,193.25,156,0.206203,0.165932,0.164299,0.153254,0.119523,0.119523,0.0375329,0.0388162,0.0530331,0.0265165,0.208119,0,0.142561,0.153622,0,0,0.379753,0,35.3099,0
agreement,forged_meta,verified,honest3_faulty1,honest_sources,3,8,0.00892856,0.0394345,0.251116,0.0345982,0.255952,0.255952,0.541667,0.986607,0.980655,0.0111607,0.991071,0,0.758811,0.757029,1.875,1,54.701,12,359.375,212,0.0177148,0.0422323,0.131828,0.0353202,0.112938,0.112938,0.112939,0.0208028,0.0261887,0.0212095,0.0177149,0,0.163088,0.15033,2.94897,0,0.395684,0,62.3193,0
agreement,forged_meta,verified,honest3_faulty2,honest_sources,3,8,0.166667,0.144097,0.371094,0.130642,0.291667,0.291667,0.725695,0.984375,0.980035,0.015625,0.833334,0.000211506,0.740719,0.720771,8,0,54.7101,12,310.875,184,0.096225,0.0636739,0.16634,0.0624155,0.090316,0.090316,0.0955786,0.0215645,0.0241813,0.0215645,0.0962251,0.00059823,0.120251,0.14156,0,0,0.393694,0,59.1908,0
